CourseID,Rule,Num_Violations
6hrs per day,UTSCSPY_YR1_2024/5,12.0
6hrs per day,UTMPHYPHYM1F_YR2_2024/5,12.0
6hrs per day,UTPHYME_YR2_2024/5,12.0
6hrs per day,PTPGCTESOL1U_YR1_2024/5,12.0
6hrs per day,PTPGCTESOL1U_YR2_2024/5,12.0
6hrs per day,UTHOAEL_YR1_2024/5,12.0
6hrs per day,UTHOASL_YR1_2024/5,12.0
6hrs per day,UTSPAHA_YR2_2024/5,12.0
6hrs per day,UTECNAC_YR1_2024/5,12.0
6hrs per day,UTAICSC_YR2_2024/5,12.0
6hrs per day,UTCMPSIBE_YR2_2024/5,12.0
6hrs per day,UTCMPSI_YR2_2024/5,12.0
6hrs per day,UTINFMT_YR2_2024/5,12.0
6hrs per day,UTSWENG_YR2_2024/5,12.0
6hrs per day,UTMAHGERBU1F_YR4_2024/5,13.0
6hrs per day,UTBDGGEND21F_YR2_2024/5,13.0
6hrs per day,UTBDGGEND31F_YR3_2024/5,13.0
6hrs per day,UTRUSEL_YR2_2024/5,13.0
6hrs per day,PTMSCASTPS1F_YR1_2024/5,13.0
6hrs per day,UTSLUHSMAH_YR2_2024/5,13.0
6hrs per day,PTMSCECOEC2P_YR1_2024/5,13.0
6hrs per day,UTMAHPORPH1F_YR1_2024/5,13.0
6hrs per day,UTMAHIRILA1F_YR1_2024/5,13.0
6hrs per day,UTSOPLA_YR3_2024/5,13.0
6hrs per day,UTSOPPS_YR3_2024/5,13.0
6hrs per day,PTDCPCLIPC1F_YR1_2024/5,13.0
6hrs per day,UTBSCANDEV1F_YR3_2024/5,13.0
6hrs per day,UTPHIPS_YR4_2024/5,13.0
6hrs per day,UTMAHSOCQM1F_YR3_2024/5,13.0
6hrs per day,PTMSCFOODS2P_YR2_2024/5,13.0
6hrs per day,PTMSCFOODS3P_YR2_2024/5,13.0
6hrs per day,UTMAHBUSEI1F_YR3_2024/5,14.0
6hrs per day,UTRUSHA_YR2_2024/5,14.0
6hrs per day,UTLAWSY_YR3_2024/5,14.0
6hrs per day,PTMSCLANED1F_YR1_2024/5,14.0
6hrs per day,PTMSCLANED1P_YR1_2024/5,14.0
6hrs per day,PTPGDLANED1F_YR1_2024/5,14.0
6hrs per day,PTPGDLANED1P_YR1_2024/5,14.0
