Rule,CourseID,Num_Violations
Clash,PTMSCEASCS1F_YR1_2024/5,2.0
Clash,PTMSCEASCS1P_YR1_2024/5,2.0
Clash,PTMSCEASJS1F_YR1_2024/5,2.0
Clash,PTMSCEASJS1P_YR1_2024/5,2.0
Clash,PTMSCEASKS1F_YR1_2024/5,2.0
Clash,PTMSCEASKS1P_YR1_2024/5,2.0
Clash,PTMSCEASSD1F_YR1_2024/5,2.0
Clash,PTMSCEASSD1P_YR1_2024/5,2.0
Clash,PTMSCECEVB1F_YR1_2024/5,1.0
Clash,PTMSCECEVB1P_YR1_2024/5,1.0
Clash,PTMSCECEVB1P_YR2_2024/5,1.0
Clash,PTMSCECNEC1F_YR1_2024/5,5.0
6hrs per day,PTMSCECNEC1F_YR1_2024/5,17.0
Clash,PTMSCECNEC1P_YR1_2024/5,4.0
6hrs per day,PTMSCECNEC1P_YR1_2024/5,7.0
Clash,PTMSCECNEC1P_YR2_2024/5,1.0
Clash,PTMSCECNFI2F_YR1_2024/5,5.0
6hrs per day,PTMSCECNFI2F_YR1_2024/5,17.0
Clash,PTMSCECNFI3P_YR1_2024/5,1.0
Clash,PTMSCECOEC1F_YR1_2024/5,7.0
6hrs per day,PTMSCECOEC1F_YR1_2024/5,27.0
Clash,PTMSCECOEC1P_YR1_2024/5,1.0
6hrs per day,PTMSCECOEC1P_YR2_2024/5,4.0
Clash,PTMSCECOEC1P_YR2_2024/5,5.0
Clash,PTMSCECOEC1P_YR3_2024/5,2.0
Clash,PTMSCECOEC2P_YR1_2024/5,4.0
6hrs per day,PTMSCECOEC2P_YR1_2024/5,8.0
Clash,PTMSCECOEC2P_YR2_2024/5,4.0
Clash,PTMSCECONO1F_YR1_2024/5,5.0
6hrs per day,PTMSCECONO1F_YR1_2024/5,17.0
Clash,PTMSCECONO1P_YR1_2024/5,1.0
Clash,PTMSCEDCAP1F_YR1_2024/5,5.0
Clash,PTMSCEDCAP1P_YR1_2024/5,5.0
Clash,PTMSCEDCAP1P_YR2_2024/5,5.0
Clash,PTMSCEDCAP2P_YR1_2024/5,5.0
Clash,PTMSCEDCAP2P_YR2_2024/5,5.0
Clash,PTMSCEDCAP2P_YR3_2024/5,5.0
Clash,PTMSCEDUCD1F_YR1_2024/5,5.0
Clash,PTMSCEDUCD1P_YR1_2024/5,5.0
Clash,PTMSCEDUCD1P_YR2_2024/5,5.0
Clash,PTMSCEDUCD2P_YR1_2024/5,5.0
Clash,PTMSCEDUCD2P_YR2_2024/5,5.0
Clash,PTMSCEDUCD2P_YR3_2024/5,5.0
Clash,PTMSCEDURE2F_YR1_2024/5,5.0
Clash,PTMSCEDURE3P_YR1_2024/5,5.0
Clash,PTMSCEDURE3P_YR2_2024/5,5.0
Clash,PTMSCEDURE4P_YR1_2024/5,5.0
Clash,PTMSCEDURE4P_YR2_2024/5,5.0
Clash,PTMSCEDURE4P_YR3_2024/5,5.0
Clash,PTMSCEECPF1F_YR1_2024/5,5.0
Clash,PTMSCEECPF1P_YR1_2024/5,5.0
Clash,PTMSCEECPF1P_YR2_2024/5,5.0
Clash,PTMSCEECPF2P_YR1_2024/5,5.0
Clash,PTMSCELECT1F_YR1_2024/5,1.0
Clash,PTMSCELPOS1F_YR1_2024/5,1.0
